cell_name	feature	corr_value
Columella	AT2G04025	0.15415564152431294
Columella	AT4G34970	0.15116608325969785
Columella	AT1G13620	0.13742022055608566
Columella	AT4G09415	0.13294456846556074
Columella	AT5G61470	0.12467491975938272
Columella	AT2G45740	0.11279067294723982
Columella	AT4G35720	0.11169862317750502
Columella	AT1G22880	0.11138632357875652
Columella	AT1G78520	0.10823527196876898
Columella	AT3G51750	0.10680483761667
Columella	AT1G17400	0.1043943132052903
Columella	AT4G15248	0.10255390024079132
Columella	AT1G50060	0.09855076938730407
Columella	AT4G27520	0.09640932235333084
Columella	AT1G18265	0.09639556230860716
Columella	AT5G67060	0.09636056950252787
Columella	AT3G03620	0.09593604912113142
Columella	AT3G14710	0.09100944598513856
Columella	AT3G18180	0.08971244488489316
Columella	AT2G35950	0.08624138030549751
Columella	AT3G50310	0.08510644788838398
Columella	AT5G62140	0.08219944275744671
Columella	AT2G04020	0.08163931167001569
Columella	AT3G52440	0.08139298694977956
Columella	AT3G45970	0.08028369898294177
Columella	AT4G35070	0.07954702294397774
Columella	AT2G05330	0.07847175380623299
Columella	AT3G01690	0.07805065464974402
Columella	AT3G18220	0.07763430379554183
Columella	AT5G64250	0.07736430038128778
Columella	AT3G07705	0.07632115886237557
Columella	AT2G23010	0.07515762789350397
Columella	AT2G21610	0.07402082342610727
Columella	AT5G10625	0.07400010830939531
Columella	AT4G15250	0.07292477201726215
Columella	AT1G73480	0.07253180905814305
Columella	AT3G17110	0.0724130425406189
Columella	AT5G20430	0.07102052357098268
Columella	AT2G38230	0.07060804237156744
Columella	AT4G37940	0.06938614223774392
Columella	AT1G06990	0.06938025849746364
Columella	AT5G27510	0.06896577275141226
Columella	AT3G02935	0.06874348210348014
Columella	AT3G44550	0.0684887581886041
Columella	AT5G56050	0.06824562645256023
Columella	AT4G35180	0.06775389693592734
Columella	AT2G42730	0.06668658626756738
Columella	AT4G26488	0.06490791041779427
Columella	AT2G44290	0.0647599201342521
Columella	AT2G31940	0.06468181999045079
Columella	AT2G42480	0.06444752635628806
Columella	AT5G26570	0.06415722643751992
Columella	AT4G28170	0.06397964732012412
Columella	AT1G10540	0.06321126488842364
Columella	AT2G35550	0.06306618461097299
